id,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,'Wifes_now_working\%3F',Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
43,31.004406,2,3,5.017395,1,1,3,1,0,3
44,25.834798,2,4,2,1,1,3,4,0,3
45,23.48519,2,3,1.402945,1,0,3,2,0,1
46,26.067987,2,2,2,1,1,1,2,0,1
47,45.958429,2,3,9.416255,0,1,3,4,0,1
48,31.481396,4,4,0.392137,1,1,1,3,0,1
49,36.297919,4,4,6.086747,1,1,2,3,0,2
50,26.691181,3,3,0.328712,1,1,2,3,0,1
51,36.362919,4,3,0.669687,1,1,4,2,0,1
52,24.609915,3,4,3,1,0,1,3,0,1
53,39.547375,2,4,3,1,1,3,4,0,3
54,23.986654,2,4,1.013402,1,1,3,4,0,1
55,45.022112,1,3,6.779585,1,1,3,2,0,2
56,35.271583,4,4,3,1,1,2,4,0,2
57,32.429733,4,4,4.732374,1,1,1,4,0,2
58,38.077191,3,4,1.196772,1,0,3,3,0,1
59,23.266324,2,1,0.626653,1,0,3,3,0,3
60,44.092369,1,1,2,1,1,3,1,0,1
61,35.946314,4,4,4.828731,1,1,1,4,0,2
62,27.347184,3,4,0.160367,0,1,3,4,0,3
63,44.046144,4,4,7.915478,0,1,3,4,0,2
64,24.550582,3,3,2,1,1,3,2,0,3
65,26.133183,4,4,3,1,1,2,4,0,3
66,38.118906,4,4,2,0,0,1,3,0,2
67,31.411414,3,3,2,1,1,2,3,0,3
68,47.497037,1,2,1.375125,1,1,3,3,0,1
69,45.006084,4,4,2,1,1,1,3,0,1
70,25.488454,4,4,3.939353,0,0,1,4,0,1
71,45.832383,3,4,2,1,1,1,4,0,1
72,36.072217,3,4,5.133502,1,1,3,4,0,3
73,18.158985,3,4,4.364995,1,1,2,2,0,1
74,17.592611,1,3,1.336863,1,1,2,3,1,1
75,44.945071,3,4,0.166681,1,0,1,4,0,1
76,38.034655,4,4,3,1,1,3,4,0,2
77,26.417867,4,4,4.156056,1,1,1,4,0,3
78,44.275033,3,2,8.274996,1,1,3,3,0,1
79,23.65802,4,4,0.935712,0,1,4,3,0,2
80,20.598562,2,4,1.515713,1,1,1,4,0,1
81,45.06652,4,4,4.631583,1,1,1,3,0,3
82,47.230687,4,4,6.815002,0,0,1,3,0,2
83,35.882375,3,4,3,1,1,3,3,0,3
84,35.738018,4,4,3.991598,1,1,1,3,0,2
85,25.431177,4,4,2,1,1,1,3,0,1
86,29.034417,2,4,4.107693,0,1,3,3,0,3
87,24.366028,4,4,2,1,0,3,4,0,3
88,20.976602,2,3,2,1,1,3,4,0,1
89,37.673534,3,3,6.79673,1,1,3,2,0,3
90,46.753631,1,2,7.25382,1,0,3,2,1,1
91,50.636888,4,4,3,1,1,1,4,0,2
92,19.802622,3,4,0.810008,1,0,1,3,0,1
93,26.922977,3,4,2,1,0,1,3,0,3
94,42.787396,2,3,10.622206,1,1,2,4,0,1
95,44.294483,2,4,8.337921,1,0,1,4,0,1
96,36.975315,2,3,3,1,1,1,4,0,2
97,23.815009,1,3,1.069242,1,1,3,3,0,1
98,42.584049,4,4,5.220748,1,1,3,4,0,2
99,29.357145,4,4,0.913283,1,0,2,4,0,2
100,30.644284,2,3,4.678367,1,1,3,4,0,1
101,23.474444,4,4,2,1,1,1,4,0,3
102,36.697539,4,4,3,1,0,1,4,0,3
103,21.766546,2,3,3,1,0,3,4,1,3
104,24.843721,4,4,4.695331,0,1,3,4,0,3
105,25.245003,2,3,3.795322,1,1,2,3,1,3
106,30.944338,4,3,3,1,1,3,1,0,3
107,32.775637,2,4,3,1,1,1,3,0,3
108,20.333698,3,3,2,1,1,3,1,0,1
109,33.044712,2,3,3,1,0,2,1,0,3
110,43.731218,3,4,1.012078,1,0,2,3,0,1
111,27.215709,4,4,1.281772,0,1,1,3,0,1
112,19.245764,3,4,0.821108,1,1,3,1,0,1
113,22.521535,3,4,2,1,1,2,4,0,3
114,46.424977,3,3,0.713741,1,1,2,4,0,1
115,48.867257,2,4,8.184187,1,1,1,3,0,1
116,42.919408,4,4,4.034536,0,1,1,3,0,2
117,18.598829,3,4,0.620154,0,1,2,4,0,1
118,26.229741,2,2,3.871754,1,0,3,2,0,3
119,29.989561,4,4,3,1,1,3,2,0,3
120,32.006149,3,4,2,1,0,1,4,0,2
121,25.926467,4,4,2,1,1,2,2,0,3
122,32.987051,2,2,4.594124,1,0,4,4,0,3
123,34.195576,3,4,3,1,1,3,3,0,3
124,44.827155,4,4,4.633531,1,0,1,2,0,3
125,37.421383,3,4,3.743276,1,0,3,3,0,3
126,31.936236,3,4,3,1,1,1,3,0,3
127,22.142669,3,4,-0.113499,1,1,2,3,0,1
128,45.190953,4,4,7.36357,1,1,1,4,0,1
129,29.982234,4,4,4.447227,1,1,3,4,0,3
130,24.5891,3,4,2,1,1,2,3,0,1
131,21.324832,2,3,0.832867,1,0,2,2,0,3
132,32.378186,4,4,2,1,1,3,3,0,3
133,25.363213,4,4,0.312,1,1,2,4,0,3
134,36.098373,2,3,6.401263,1,0,2,4,0,3
135,22.137393,4,4,1.508234,1,1,1,2,0,3
136,27.389269,4,4,4.677966,1,1,2,4,0,3
137,23.444114,3,4,1.126793,1,1,3,3,0,3
138,41.335069,3,4,4.439508,1,0,2,4,0,1
139,25.463461,3,3,2,1,0,3,2,0,3
140,28.679525,2,2,0.092854,1,1,3,2,0,1
141,45.028939,4,4,7.105592,1,1,3,1,0,1
142,27.080663,3,4,2,1,1,1,3,0,1
143,34.950143,3,3,2,1,1,2,2,0,3
144,24.761221,2,3,0.941577,0,1,2,2,0,3
145,27.733033,2,3,0.414717,1,1,3,4,0,3
146,27.184751,3,3,2,0,1,2,2,0,2
147,36.799458,4,4,4.357499,1,1,3,4,0,2
148,43.89852,4,4,3,1,1,2,4,0,2
149,24.854095,3,3,2,1,1,3,2,0,3
150,32.776615,4,4,4.371341,0,0,1,3,0,3
151,41.326138,3,4,2,1,1,3,3,1,1
152,30.390309,4,4,3.379696,0,1,1,4,0,2
153,29.208279,2,4,3,1,1,1,3,0,3
154,22.539765,2,4,0.98804,1,1,3,3,0,3
155,46.195407,4,4,4.58573,1,0,1,4,0,2
156,41.910735,4,4,8.289337,1,1,2,3,0,2
157,19.709486,4,4,1.045947,1,0,3,4,0,1
158,40.464718,4,4,8.76763,0,1,3,4,0,3
159,47.013051,2,3,3,0,1,3,3,0,1
160,42.415972,4,4,9.006075,0,1,3,3,0,2
161,38.465596,1,2,1.091452,1,1,3,3,0,3
162,29.836633,1,4,3,1,0,1,4,1,3
163,43.138,4,4,0.62723,1,1,2,4,0,1
164,36.939994,1,4,0.461587,1,1,1,3,0,1
165,36.981602,3,4,3,1,1,3,3,0,2
166,47.705068,1,1,4.649006,1,1,3,2,0,1
167,48.653403,4,4,3,0,1,2,3,0,1
168,40.806195,3,3,10.45841,1,1,1,3,1,1
169,21.273403,3,3,0.315387,1,1,1,3,0,2
170,37.651326,4,4,4.680471,1,0,1,4,0,2
171,22.341294,4,4,0.597791,1,0,3,1,0,1
172,32.422903,4,4,2,1,0,3,4,0,1
173,37.096014,3,4,3,1,0,1,2,0,3
174,26.79921,3,4,1.578924,1,1,3,4,0,3
175,46.085394,3,4,4.815456,1,1,2,4,0,2
176,38.454637,3,4,3,1,1,1,3,0,1
177,31.419433,4,4,4.741544,1,1,1,3,0,3
178,27.901229,3,2,3,1,0,4,3,0,2
179,46.198131,3,3,9.676572,1,0,3,3,0,1
180,31.87432,2,4,6.370746,1,1,1,4,0,3
181,42.571095,4,4,8.251288,0,1,2,3,0,2
182,41.178563,4,4,3.88959,1,1,1,3,0,3
183,41.17114,4,4,5.677405,1,0,3,4,0,2
184,26.980068,3,4,2,1,1,1,2,0,1
185,31.620009,2,4,3,1,1,2,4,0,3
186,41.40285,4,4,4.372406,0,1,1,4,0,1
187,46.551326,1,2,0.292042,1,1,3,3,1,1
188,25.989608,3,2,4.619989,1,1,3,4,0,3
189,31.52784,2,3,0.967141,1,1,3,4,0,1
190,27.736359,4,4,3,1,1,3,4,0,1
191,45.622847,3,4,5.206582,1,1,1,3,0,2
192,24.909807,3,4,2,1,0,3,4,0,3
193,25.373531,2,2,1.276011,1,0,2,1,0,1
194,38.173435,3,4,0.601887,1,0,3,4,0,1
195,35.55052,4,4,2,0,1,2,4,0,2
196,47.6828,2,3,3,1,0,3,4,0,3
197,28.284803,2,2,0.650975,0,1,2,4,0,1
198,36.877986,4,4,2,1,1,4,4,0,2
199,26.160497,3,4,-0.158453,1,1,3,4,0,1
200,37.502894,4,4,4.545327,1,0,2,4,0,2
201,35.884946,3,4,3,1,1,1,2,0,2
202,36.238836,3,3,8.681435,0,1,2,4,0,2
203,35.839969,2,3,2,1,1,3,1,0,1
204,38.199083,2,4,3,1,0,1,4,0,3
205,25.097787,2,4,4.427958,1,1,1,4,0,2
206,22.01211,3,4,3,1,1,3,4,0,3
207,26.918882,4,4,0.975339,1,1,1,4,0,1
208,37.202429,2,4,0.576068,1,1,1,3,0,3
209,36.781413,3,4,2,1,1,1,4,0,1
210,28.33556,3,4,3.497796,1,1,2,4,0,1
211,39.320256,3,4,4.309635,1,1,1,4,0,1
212,18.33285,1,3,2,1,1,1,4,1,2
213,27.616257,4,3,1.549324,1,1,3,4,0,2
214,31.466407,4,4,3.961419,1,1,1,3,0,3
215,36.472078,3,3,3,1,1,3,3,0,1
216,29.699552,4,4,3.823967,0,1,1,1,0,2
217,35.637502,1,2,2,1,1,3,2,0,1
218,45.018405,4,4,4.936864,0,1,1,4,0,2
219,41.946082,3,3,7.325265,1,0,3,3,0,2
220,36.033951,4,4,5.507592,1,1,2,4,0,2
221,25.896972,2,2,3,1,1,2,3,0,3
222,45.454422,3,3,8.870467,1,1,2,2,0,3
223,31.387439,2,3,3,1,1,3,4,0,3
224,43.656057,4,4,2,0,1,3,2,0,1
225,30.393215,4,4,4.649779,1,1,1,4,0,3
226,40.038996,3,3,6.947702,1,1,2,3,0,1
227,23.219548,3,3,0.226051,1,0,2,4,0,1
228,31.664982,3,3,4.03886,0,1,3,4,0,2
229,34.140506,4,4,2,1,1,3,4,0,2
230,21.685382,2,3,0.915507,1,1,2,2,0,1
231,23.556429,3,3,1.498568,1,1,2,4,0,1
232,43.607722,4,4,3,0,1,2,3,0,1
233,43.843359,3,4,0.722887,1,1,1,4,0,1
234,35.557606,4,4,2,1,0,2,4,0,3
235,24.920635,3,4,-0.195697,1,1,3,1,0,1
236,32.262045,4,4,3,1,1,3,4,0,2
237,30.875918,1,2,1.726889,1,0,3,2,0,1
238,25.521157,2,2,2,1,1,3,1,0,1
239,30.161052,3,3,3,0,1,3,4,0,3
240,24.673949,2,4,3,1,1,3,1,0,1
241,25.635092,3,4,2,1,1,3,4,0,3
242,21.218095,3,4,0.852323,1,0,2,4,0,3
243,24.264146,4,4,-0.232566,1,0,1,4,0,2
244,30.493884,4,4,7.439187,0,1,1,4,0,2
245,25.932684,4,4,3,1,0,1,4,0,1
246,43.136094,2,4,0.707845,1,0,3,4,0,1
247,47.71808,3,3,3,1,0,3,3,0,2
248,30.00422,4,4,4.599316,1,1,2,4,0,3
249,39.580874,2,3,2,1,1,3,1,0,1
250,30.2392,1,2,9.419302,1,1,2,2,0,1
251,24.407105,2,2,2,1,1,3,3,0,1
252,30.784967,4,3,1.170055,1,0,2,4,0,3
253,33.02872,4,4,3.76512,1,1,1,4,0,1
254,19.497101,4,4,0.5996,1,1,2,4,0,3
255,26.447855,4,4,3,0,1,3,4,0,2
256,25.530759,2,2,0.467938,1,1,4,3,0,1
257,45.800083,3,3,4.343619,0,1,3,3,1,3
258,45.080265,4,4,3,1,1,3,3,0,3
259,36.54233,3,3,4.482383,1,0,1,2,0,1
260,33.624207,2,3,3,1,0,2,4,0,3
261,35.793877,1,2,4.396816,1,1,3,4,0,3
262,26.000381,3,4,2,1,1,3,3,0,3
263,28.632397,4,4,2,1,0,1,3,0,3
264,45.388082,2,3,4.651763,1,1,3,4,0,3
265,45.993899,4,1,9.422055,1,1,3,3,0,2
266,43.347421,4,4,0.918644,1,1,1,4,0,1
267,39.833382,3,4,3,0,1,2,4,0,2
268,35.271114,3,4,6.425029,1,1,1,4,0,1
269,44.885741,1,1,5.948389,1,1,3,2,1,1
270,30.290929,4,4,3,0,0,2,4,0,3
271,36.941508,1,1,5.164992,1,1,2,2,1,1
272,39.554614,4,4,4.10303,0,0,3,3,0,2
273,41.436696,3,3,2,1,1,2,4,0,1
274,31.724221,1,2,2,1,0,3,3,1,3
275,36.177817,2,3,4.594617,1,1,2,3,0,3
276,22.720947,4,4,2,0,1,2,4,0,3
277,32.376287,2,3,1.338955,1,1,3,2,0,1
278,26.7815,1,3,0.86218,1,0,3,3,1,1
279,31.16196,2,3,4.304069,1,1,2,3,0,1
280,31.938808,4,4,2,1,0,3,4,0,2
281,26.787183,2,4,0.479075,1,0,1,3,0,1
282,18.796585,4,4,2,1,1,1,4,0,3
283,21.860845,2,1,0.983383,0,0,1,4,0,1
284,42.321657,4,4,2,1,1,3,4,0,3
285,35.037708,3,3,3,1,1,3,3,0,2
286,30.122719,3,4,2,1,1,2,4,0,1
287,29.194842,2,4,-0.144826,1,1,2,4,0,3
288,24.505113,4,4,0.67798,1,1,1,3,0,1
289,48.635388,4,4,11.057265,1,0,1,3,0,2
290,43.671348,1,1,5.095825,1,1,3,1,0,2
291,25.646329,4,2,4.293284,1,1,3,1,0,1
292,22.243631,4,4,3,1,1,1,4,0,2
293,32.431056,3,3,0.784131,1,1,2,1,0,1
294,26.70945,4,4,5.158402,1,1,2,4,0,3
295,44.254674,1,4,2,1,0,2,1,1,1
296,26.494439,4,4,3,1,0,1,2,0,2
297,43.717461,4,4,2,1,1,3,4,0,1
298,19.191725,3,4,0.612601,1,1,3,4,0,3
299,35.125602,4,4,4.175345,1,1,3,4,0,2
300,26.113733,2,3,2,1,1,2,4,0,2
301,29.402389,4,4,1.030891,1,1,1,4,0,1
302,24.986506,3,4,2,1,1,1,4,0,2
303,30.155896,3,1,0.700992,1,0,2,2,0,1
304,20.588253,4,4,0.574319,1,1,1,3,0,3
305,36.362282,4,4,2,0,0,2,3,0,2
306,26.175083,3,4,2,1,1,3,2,0,1
307,28.063789,3,3,3,1,1,3,3,0,3
308,36.141934,3,4,4.990823,1,1,1,2,0,3
309,21.275956,4,4,3.976343,1,1,1,4,0,3
310,28.548598,4,4,3,1,0,3,3,0,3
311,31.29294,2,3,1.8312,1,1,3,3,0,1
312,27.971923,2,3,0.39343,1,1,3,4,0,1
313,20.101215,4,4,3,1,1,1,3,0,3
314,22.303705,4,4,0.921509,0,1,1,3,0,2
315,23.770813,1,3,3,1,1,3,2,1,1
316,25.59605,3,4,2,1,1,3,4,0,3
317,49.183441,3,4,3,1,0,1,4,0,2
318,45.276586,2,2,8.191713,1,0,4,2,0,1
319,47.936216,3,4,4.602156,1,1,2,4,0,1
320,22.208713,3,4,0.314175,1,1,4,4,0,3
321,26.875229,3,2,0.479337,0,1,3,3,0,1
322,30.573645,4,4,4.633555,1,0,3,2,0,3
323,21.961063,2,2,0.536355,1,1,3,1,0,3
324,35.46114,1,4,4.625851,1,1,3,2,0,3
325,48.232737,2,4,7.677008,1,1,1,3,0,1
326,47.292408,2,3,4.20737,1,1,3,4,0,1
327,22.825678,1,1,4.057758,0,0,4,3,0,3
328,26.771043,4,3,2,1,1,3,4,0,2
329,26.222442,3,4,2,1,1,1,4,0,3
330,38.238084,2,2,7.272936,1,1,3,4,0,1
331,25.217387,4,4,-0.106672,0,1,1,4,0,2
332,34.504585,1,4,6.148018,1,1,1,3,0,2
333,35.947059,4,4,3,1,1,3,3,0,3
334,26.358657,4,4,5.663258,1,1,3,4,0,1
335,36.828588,2,2,8.325578,1,1,3,3,0,3
336,21.869975,2,2,0.621713,1,1,3,2,0,3
337,42.953236,4,3,3,1,1,3,3,0,3
338,26.461277,3,4,4.392285,1,1,2,1,0,1
339,26.659955,4,4,4.066381,1,0,2,4,0,2
340,19.950793,3,4,0.30687,1,1,3,4,0,3
341,30.517874,4,4,4.861359,1,0,1,4,0,3
342,39.051303,3,3,8.282405,1,1,3,3,0,3
343,44.420169,3,4,0.709016,1,0,2,4,1,3
344,43.760815,4,4,5.191695,1,1,3,2,0,3
345,47.0208,4,4,3,0,1,2,4,0,1
346,39.619912,3,4,3,1,1,2,4,0,1
347,28.676254,4,4,4.105564,1,1,1,4,0,3
348,36.608481,2,2,3,1,1,3,4,0,3
349,21.037761,2,3,0.603618,1,0,2,4,0,3
350,38.582418,3,4,4.532312,1,0,1,3,0,1
351,26.88588,1,3,2,1,1,3,3,0,1
352,41.791946,3,4,3,1,1,1,3,0,1
353,42.941454,3,3,3.307182,1,1,2,2,0,3
354,35.181793,2,4,0.931092,1,1,3,3,0,1
355,21.735917,4,4,0.695013,1,0,3,1,0,1
356,25.520001,4,4,2,1,1,3,4,0,1
357,36.485867,3,3,4.018059,1,1,3,2,0,3
358,24.346069,2,3,-0.043332,1,1,3,3,0,3
359,42.660746,2,4,3,1,1,2,4,0,3
360,37.344997,3,3,3,1,1,2,2,0,1
361,20.153121,2,4,2,1,1,3,4,0,1
362,25.910783,4,4,2,1,0,2,3,0,3
363,26.732075,2,2,3,1,1,2,2,0,3
364,33.862941,3,4,5.740919,1,1,4,3,0,1
365,31.487684,4,4,2,1,1,2,3,0,1
366,26.848412,1,3,0.592789,1,1,3,3,0,1
367,35.485577,3,4,8.655987,1,1,3,4,0,1
368,38.040433,4,4,7.269343,1,1,1,4,0,3
369,26.530384,1,2,0.736131,1,0,3,2,0,1
370,34.569156,2,3,5.873275,1,0,3,4,0,1
371,29.091982,4,4,2,1,0,3,4,0,2
372,42.628033,4,4,4.902162,1,1,1,3,0,2
373,47.610441,2,3,4.002174,1,1,2,3,0,1
374,48.924043,4,4,5.737397,1,1,1,3,0,2
375,35.95536,1,2,4.169675,1,1,4,1,0,2
376,26.014499,3,3,0.803933,1,1,2,3,0,3
377,33.8327,4,4,3,1,1,2,4,0,3
378,25.440422,4,4,0.886113,0,1,1,4,0,3
379,40.054127,3,4,0.712558,1,1,3,4,0,1
380,22.398317,4,4,0.129109,1,1,1,4,0,2
381,31.97318,3,4,3,1,1,1,3,0,3
382,37.666682,4,4,4.274553,1,1,1,4,0,2
383,21.822803,2,2,0.540718,1,1,3,2,0,1
384,42.55111,2,3,7.080554,1,1,1,3,0,1
385,27.287657,3,4,2,1,1,2,3,0,1
386,25.298895,2,2,2,1,1,3,1,0,3
387,19.00878,4,4,0.676771,0,0,1,3,0,3
388,20.604582,4,4,0.83935,0,1,1,4,0,2
389,23.879369,3,4,1.051038,1,1,3,4,0,1
390,38.295213,4,4,2,1,1,2,4,0,2
391,31.832313,3,4,2,1,1,2,4,1,3
392,40.114429,3,4,3,1,1,2,4,0,3
393,25.412196,2,3,0.112017,1,1,2,3,0,1
394,27.851619,2,3,3.88734,1,0,1,4,0,3
395,47.212773,2,2,2,1,0,2,4,0,1
396,38.1798,3,4,9.574424,1,1,3,2,0,1
397,24.316706,1,2,0.822273,1,0,3,3,0,1
398,43.819521,2,2,0.324774,1,1,3,1,1,1
399,40.077204,1,1,2,1,0,2,4,0,1
400,37.388014,2,3,3.944697,1,1,2,4,0,3
401,23.012994,2,3,2,1,1,2,3,0,1
402,23.059487,4,4,3,1,1,3,3,0,3
403,26.442215,3,4,0.4319,1,1,3,2,0,3
404,34.597588,2,4,8.661361,1,1,1,3,0,3
405,36.603138,4,4,2,1,0,3,3,0,3
406,35.602597,4,4,4.350006,1,1,3,4,0,2
407,26.2421,4,1,0.905922,1,0,3,1,0,3
408,26.911444,4,4,0.542153,0,1,1,4,0,2
409,35.358338,4,4,7.357932,1,1,1,3,0,1
410,46.394664,1,3,4.496867,1,1,3,4,1,1
411,30.638313,4,4,5.149353,1,1,1,4,0,2
412,31.925818,3,3,3,1,1,2,3,0,3
413,46.538213,2,3,3,1,1,2,2,0,1
414,35.537503,4,1,3,1,1,3,1,0,3
415,46.090643,3,4,9.090071,1,1,3,4,0,1
416,36.494457,3,4,0.730574,1,0,2,4,0,1
417,26.328798,2,2,5.720087,1,1,3,3,0,3
418,24.03327,3,3,0.747856,0,1,3,3,0,3
419,45.264757,4,4,4.784025,1,1,1,4,0,1
420,29.862221,3,3,3,1,1,3,3,0,3
421,23.032411,3,4,0.587636,0,1,1,3,1,1
422,35.300668,3,4,4.68785,0,0,1,4,0,2
423,27.109267,2,4,8.601822,1,1,3,1,0,3
424,44.502777,2,4,10.625364,0,1,2,2,0,1
425,27.102741,2,4,3.668213,1,1,3,4,0,3
426,26.62941,3,4,4.468293,1,1,3,4,0,1
427,48.31194,1,2,5.66646,1,0,2,2,1,3
428,29.996366,3,3,2,1,0,3,3,0,3
429,32.323583,2,3,3,1,1,2,4,0,2
430,32.604999,3,2,3,0,1,3,1,0,3
431,28.232475,2,3,2,1,1,3,3,0,3
432,26.981971,4,4,2,1,1,1,4,0,2
433,46.945716,2,1,5.435477,1,0,2,1,1,1
434,22.868722,2,2,0.567426,1,1,3,4,0,1
435,21.085739,4,4,2,0,1,1,4,0,3
436,25.905098,3,3,3,1,0,2,3,0,2
437,38.275592,2,3,4.48971,1,1,3,1,0,3
438,30.606154,1,2,4.111383,1,1,2,3,0,1
439,21.036958,3,4,2,1,0,3,4,0,3
440,35.186832,3,4,3.612441,1,1,3,4,0,3
441,18.626346,4,3,2,1,1,2,4,0,3
442,26.086208,3,4,2,1,1,3,4,0,3
443,27.894795,3,2,1.093946,1,1,3,1,0,1
444,32.788594,4,4,3,1,1,1,3,0,3
445,26.056602,4,4,3,1,1,3,4,0,1
446,34.99024,3,4,4.669473,0,0,1,4,0,2
447,37.278539,2,3,6.288792,1,1,1,3,0,3
448,34.893105,2,4,10.589271,1,1,1,3,0,1
449,31.271765,4,4,5.409967,0,1,1,3,0,2
450,26.357254,4,4,-0.263762,0,1,1,4,0,3
451,19.954487,3,3,0.794945,1,1,3,4,0,3
452,21.758682,1,3,1.299867,1,1,3,2,0,3
453,26.30979,1,3,2,1,1,2,3,0,1
454,20.927849,3,3,0.769881,1,1,2,1,0,2
455,25.351947,2,3,4.218126,1,1,4,2,0,3
456,26.745299,4,4,2,1,1,2,4,0,2
457,25.53585,1,1,2,1,1,3,1,1,2
458,19.668559,2,2,0.506509,1,1,3,3,0,3
459,41.975858,2,2,4.282412,1,1,2,4,0,1
460,33.905892,4,4,3,1,1,1,4,0,2
461,46.756119,4,4,5.26879,1,0,3,3,0,1
462,37.504698,1,2,9.115573,1,1,2,4,1,1
463,24.176444,3,4,2,1,1,3,4,0,3
464,43.0986,4,4,3,1,1,3,3,0,2
465,44.368986,4,4,5.334407,0,1,1,4,0,2
466,19.12844,2,4,0.439909,1,1,2,3,0,1
467,22.630431,2,3,0.941267,1,1,3,3,0,2
468,35.950016,2,2,4.930919,1,0,1,1,0,2
469,34.453095,4,3,5.75121,1,0,3,3,1,3
470,35.594852,4,4,5.046062,1,1,2,4,0,3
471,28.150378,4,4,2,0,1,3,2,0,3
472,27.563376,2,2,-0.798542,1,1,1,1,0,3
473,44.352678,3,3,5.947259,1,0,4,3,0,1
474,37.288245,4,4,4.577576,1,1,1,4,0,3
475,36.792845,2,4,6.488373,1,0,3,4,1,1
476,42.927904,4,4,8.344616,0,1,1,4,0,2
477,25.536787,2,3,0.508905,1,1,3,4,0,1
478,36.039427,2,4,0.531957,1,1,1,4,0,1
479,42.187709,4,3,6.538475,1,1,3,4,0,3
480,36.244399,4,3,7.369933,1,1,1,4,1,3
481,35.732891,2,4,5.156997,1,1,3,3,0,3
482,47.45397,3,4,2,1,1,1,4,0,1
483,46.969117,3,2,3.620371,1,1,3,1,0,1
484,35.812188,4,4,3.711234,1,0,1,4,0,2
485,31.045951,1,1,0.214596,1,1,3,2,0,1
486,39.178186,1,2,2,1,1,3,4,1,1
487,23.183387,2,3,0.87057,1,0,2,2,0,1
488,21.095662,4,4,1.047004,1,1,1,4,0,3
489,27.881458,1,4,4.209601,1,1,3,4,1,3
490,31.186877,2,4,0.429438,1,1,3,4,1,1
491,35.287465,4,4,3,1,1,1,4,0,2
492,27.426598,4,4,2,1,1,1,4,0,3
493,23.923968,4,4,2,1,1,1,4,0,2
494,20.69787,4,4,0.831823,1,1,3,3,0,1
495,20.220744,4,3,2,1,1,2,4,0,1
496,39.567091,4,4,5.071827,1,1,1,3,0,1
497,31.723527,4,4,2,1,1,1,4,0,3
498,30.53385,4,4,0.805692,1,1,2,2,0,3
499,37.31638,4,4,9.605073,1,1,3,3,0,1
500,39.077386,1,3,1.573261,1,1,2,2,0,1
501,27.285425,2,2,0.915938,1,1,2,4,0,1
502,22.52208,3,4,1.044725,1,0,2,4,0,1
503,27.664262,4,2,2,1,1,3,4,0,2
504,32.464494,3,4,4.305869,1,1,3,4,0,3
505,30.0924,4,4,4.553653,0,1,3,4,0,3
506,29.744825,2,4,5.031375,1,1,3,4,0,3
507,27.251658,4,4,3,1,1,3,4,0,3
508,31.013194,2,2,0.242933,1,1,1,2,0,2
509,41.584051,3,4,3,1,0,1,2,0,1
510,21.712628,4,4,1.256394,1,0,3,3,1,1
511,40.855444,3,4,7.025074,1,1,3,1,1,1
512,36.89539,2,3,2,1,1,2,1,0,3
